Wavelength,Total PE,Total PE stdev,PE mz 56.0,PE mz 56.0 stdev,PE mz 115.0,PE mz 115.0 stdev,PE mz 130.0,PE mz 130.0 stdev,PE mz 140.0,PE mz 140.0 stdev,PE mz 142.0,PE mz 142.0 stdev,PE mz 154.0,PE mz 154.0 stdev,PE mz 157.0,PE mz 157.0 stdev,PE mz 168.0,PE mz 168.0 stdev,PE mz 171.0,PE mz 171.0 stdev,PE mz 181.0,PE mz 181.0 stdev,PE mz 183.0,PE mz 183.0 stdev,PE mz 185.0,PE mz 185.0 stdev,PE mz 199.0,PE mz 199.0 stdev,PE mz 209.0,PE mz 209.0 stdev
486.000000,4.211827,1.137760,0.307645,0.253687,0.307645,0.253687,0.307645,0.253687,0.307645,0.253687,0.307645,0.253687,0.307645,0.253687,0.307645,0.253687,0.307645,0.253687,0.307645,0.253687,0.307645,0.253687,0.307645,0.253687,0.307645,0.253687,0.307645,0.253687,0.307645,0.253687
488.000000,1.484052,0.786196,0.106769,0.203034,0.106769,0.203034,0.106769,0.203034,0.106769,0.203034,0.106769,0.203034,0.106769,0.203034,0.106769,0.203034,0.106769,0.203034,0.106769,0.203034,0.106769,0.203034,0.106769,0.203034,0.106769,0.203034,0.106769,0.203034,0.106769,0.203034
490.000000,3.179336,1.605024,0.230869,0.408814,0.230869,0.408814,0.230869,0.408814,0.230869,0.408814,0.230869,0.408814,0.230869,0.408814,0.230869,0.408814,0.230869,0.408814,0.230869,0.408814,0.230869,0.408814,0.230869,0.408814,0.230869,0.408814,0.230869,0.408814,0.230869,0.408814
492.000000,2.116047,1.192956,0.152936,0.314388,0.152936,0.314388,0.152936,0.314388,0.152936,0.314388,0.152936,0.314388,0.152936,0.314388,0.152936,0.314388,0.152936,0.314388,0.152936,0.314388,0.152936,0.314388,0.152936,0.314388,0.152936,0.314388,0.152936,0.314388,0.152936,0.314388
494.000000,2.356182,1.088436,0.170390,0.252032,0.170390,0.252032,0.170390,0.252032,0.170390,0.252032,0.170390,0.252032,0.170390,0.252032,0.170390,0.252032,0.170390,0.252032,0.170390,0.252032,0.170390,0.252032,0.170390,0.252032,0.170390,0.252032,0.170390,0.252032,0.170390,0.252032
496.000000,1.615950,0.842106,0.116439,0.222214,0.116439,0.222214,0.116439,0.222214,0.116439,0.222214,0.116439,0.222214,0.116439,0.222214,0.116439,0.222214,0.116439,0.222214,0.116439,0.222214,0.116439,0.222214,0.116439,0.222214,0.116439,0.222214,0.116439,0.222214,0.116439,0.222214
498.000000,1.328769,0.716786,0.095581,0.182023,0.095581,0.182023,0.095581,0.182023,0.095581,0.182023,0.095581,0.182023,0.095581,0.182023,0.095581,0.182023,0.095581,0.182023,0.095581,0.182023,0.095581,0.182023,0.095581,0.182023,0.095581,0.182023,0.095581,0.182023,0.095581,0.182023
500.000000,2.116644,1.094475,0.152734,0.286456,0.152734,0.286456,0.152734,0.286456,0.152734,0.286456,0.152734,0.286456,0.152734,0.286456,0.152734,0.286456,0.152734,0.286456,0.152734,0.286456,0.152734,0.286456,0.152734,0.286456,0.152734,0.286456,0.152734,0.286456,0.152734,0.286456
502.000000,0.763622,0.478372,0.054764,0.125690,0.054764,0.125690,0.054764,0.125690,0.054764,0.125690,0.054764,0.125690,0.054764,0.125690,0.054764,0.125690,0.054764,0.125690,0.054764,0.125690,0.054764,0.125690,0.054764,0.125690,0.054764,0.125690,0.054764,0.125690,0.054764,0.125690
504.000000,0.826295,0.664893,0.059268,0.172026,0.059268,0.172026,0.059268,0.172026,0.059268,0.172026,0.059268,0.172026,0.059268,0.172026,0.059268,0.172026,0.059268,0.172026,0.059268,0.172026,0.059268,0.172026,0.059268,0.172026,0.059268,0.172026,0.059268,0.172026,0.059268,0.172026
506.000000,1.591393,0.894555,0.114582,0.221613,0.114582,0.221613,0.114582,0.221613,0.114582,0.221613,0.114582,0.221613,0.114582,0.221613,0.114582,0.221613,0.114582,0.221613,0.114582,0.221613,0.114582,0.221613,0.114582,0.221613,0.114582,0.221613,0.114582,0.221613,0.114582,0.221613
508.000000,1.904589,1.060632,0.137326,0.263483,0.137326,0.263483,0.137326,0.263483,0.137326,0.263483,0.137326,0.263483,0.137326,0.263483,0.137326,0.263483,0.137326,0.263483,0.137326,0.263483,0.137326,0.263483,0.137326,0.263483,0.137326,0.263483,0.137326,0.263483,0.137326,0.263483
